Name,Date,Location,Type,Region
El Perro del Mar,3/19/2024, Barboza,Music,Capitol Hill / Central District
Taste Washington: No Frills,3/18/2024," Seattle, WA",Festivals & Special Events,Downtown
BAS,3/17/2024, Neumos,Music,Capitol Hill / Central District
One Thousand Pieces,3/15/2024 through 3/24/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
The Nook: Rainbow Rhapsody,4/6/2024, The Neptune Theatre,Music,University District
The 350’s,4/2/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
Taste Washington: Pacific Standard,3/14/2024, Pier 62,Festivals & Special Events,Downtown
Soren Solkaer: Sort Sol,Now through 3/10/2024, National Nordic Museum,Museums,Fremont / Ballard
Sound Check! The Music We Make,Now through 9/14/2024, Wing Luke Museum,Museums,International District
West Seattle Farmers Market – Sundays,Ongoing, West Seattle Farmers Market,Festivals & Special Events,West Seattle
Holding / Movement,3/8/2024, Benaroya Hall,Music,Downtown
Taylor Raven and Duke Kim in Recital,4/4/2024, Opera Center,Music,Queen Anne / Seattle Center
Pioneer Square First Thursday Art Walk,Ongoing, Pioneer Square,Visual Arts & Galleries,Pioneer Square
Ariel Pink,3/9/2024, El Corazon,Music,Downtown
Whose Live Anyway?,4/6/2024, The Moore Theatre,Theatre,Downtown
Explore The Market,Ongoing, Pike Place Market,Festivals & Special Events,Downtown
75 Years of Porsche,Ongoing, LeMay - America's Car Museum,Museums,South
Richard Lui and Dr. Kate Zhong: Caring for the Caregiver,3/19/2024, Town Hall Seattle,Readings & Lectures,Downtown
R.A.P. Ferreira,4/5/2024, High Dive,Music,Fremont / Ballard
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024, National Nordic Museum,Museums,Fremont / Ballard
Chihuly Garden and Glass,Ongoing, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center
Giant Pacific Octopus,Ongoing, Seattle Aquarium,Museums,Downtown
Kenzan Tsutakawa-Chinn: Gather,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Josh Wolf,3/8/2024, The Neptune Theatre,Theatre,University District
Lee McIntyre: A History of Disinformation,3/21/2024, Town Hall Seattle,Readings & Lectures,Downtown
Jazz Underground,3/27/2024, The Royal Room,Music,South Seattle
Queensryche and Armored Saint,3/31/2024, The Neptune Theatre,Music,University District
Jaune Quick-to-See Smith: Memory Map,Now through 5/12/2024, Seattle Art Museum,Museums,Downtown
Great Hall of Washington History,Ongoing, Washington State History Museum,Museums,South
Our Material World,Ongoing, Burke Museum,Museums,University District
Capitol Hill Farmers Market – Sunday,Ongoing, Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District
Replay Matinee: Roxanne Dunbar-Ortiz,3/14/2024, Town Hall Seattle,Readings & Lectures,Downtown
Fatoumata Diawara,4/5/2024, The Neptune Theatre,Music,University District
Olympic Sculpture Park,Ongoing, Olympic Sculpture Park,Visual Arts & Galleries,Downtown
Dadi Freyr,3/22/2024, Showbox SoDo,Music,Pioneer Square
Meet the Animals,Ongoing, Woodland Park Zoo,Museums,Wallingford / Greenlake
Beetlejuice,4/2/2024 through 4/7/2024, The Paramount Theatre,Theatre,Downtown
Veeze,3/14/2024, The Neptune Theatre,Music,University District
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024, Wing Luke Museum,Museums,International District
Briston Maroney: Ultrapure Tour,3/18/2024 through 3/19/2024, The Neptune Theatre,Music,University District
Frye Salon,Now through 10/27/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Matt Maltese,4/3/2024, The Neptune Theatre,Music,University District
Timmy Trumpet’s Freakshow,3/30/2024, Showbox SoDo,Music,Pioneer Square
Native Portraiture: Power and Perception,Now through 3/17/2024, Tacoma Art Museum,Museums,South
Seattle Kraken vs. Vegas Golden Knights,3/12/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Rylan Fischer,3/17/2024, Sunset Tavern,Music,Fremont / Ballard
Juliet Hooker with Megan Ming Francis: The Politics of Loss,3/25/2024, Town Hall Seattle,Readings & Lectures,Downtown
Manazma Sheen,Ongoing, Sea Monster Lounge,Music,Wallingford / Greenlake
Seattle Kraken vs. Nashville Predators,3/16/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Illuminate: Glass Art for Early Learners,Now through 3/31/2024, Museum of Glass,Museums,South
The Moth Seattle GrandSLAM,3/22/2024, Town Hall Seattle,Festivals & Special Events,Downtown
Shain Shapiro with Greg Scruggs: How Music Builds Cities,3/24/2024, Town Hall Seattle,Readings & Lectures,Downtown
X:The Life and Times of Malcolm X,Now through 3/9/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Rhapsody in Shmaltz,3/10/2024, The Royal Room,Music,South Seattle
The Wood Brothers,3/8/2024, The Moore Theatre,Music,Downtown
Los Huracanes del Norte: A Otro Nivel Tour 2024,3/22/2024, The Neptune Theatre,Music,University District
Festal: Seattle’s French Fest,3/24/2024, Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Public Tour: Journeys Through Time and Space,Now through 3/31/2024, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Text Me Back Live,3/15/2024, Town Hall Seattle,Theatre,Downtown
Jonah Kagen,3/25/2024, Barboza,Music,Capitol Hill / Central District
Tim Berne Trio,3/13/2024, The Royal Room,Music,South Seattle
Lee Fields and Monophonics,3/15/2024, The Neptune Theatre,Music,University District
More Music,3/22/2024, The Moore Theatre,Music,Downtown
Bach St. John Passion,Now through 3/9/2024, Benaroya Hall,Music,Downtown
Be/longing: Contemporary Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Jennifer Hartswick Band,3/23/2024, High Dive,Music,Fremont / Ballard
Seattle Kraken vs. Anaheim Ducks,3/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Umphrey’s McGee,3/17/2024, The Showbox,Music,Downtown
Kathy Ross: Serious Fun,3/24/2024, Bainbridge Island Museum of Art,Museums,West
Places to Call Home: Settlements in the West,Now through 3/17/2024, Tacoma Art Museum,Museums,South
glass beach,3/21/2024, Neumos,Music,Capitol Hill / Central District
Clarence Moriwaki,3/18/2024, Town Hall Seattle,Readings & Lectures,Downtown
XAVI,4/5/2024, Showbox SoDo,Music,Pioneer Square
Tuomo and Markus Concert,3/15/2024, National Nordic Museum,Museums,Fremont / Ballard
"Matthew Desmond: Poverty, By America",3/28/2024, Town Hall Seattle,Readings & Lectures,Downtown
